test_name,client_name,target_opcode,source_label,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,update_runtime_ms,update_pvalue,update_conf_int_low,update_conf_int_high,param_opcode,param_account_mode
test_account_access,besu,BALANCE,presets[cold_account_code_access],,220,445.7326836323333,0.001,0.9522967065352695,0.9520778840881836,0.026288582903343696,0.001,0.025439428871212266,0.027239819348958635,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,88,405.65721241261224,0.001,0.9119562246162851,0.9109324597862419,0.03559981544118799,0.001,0.03348321368273012,0.03763253186170871,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,geth,BALANCE,presets[cold_account_code_access],,143,950.9331734127177,0.001,0.740945390017004,0.739108123279536,0.029860754538218695,0.001,0.026532357182182505,0.03343048731796039,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,121,837.1847918356174,0.001,0.6640188853293608,0.6611955146178429,0.024412408031402665,0.001,0.021053743821735325,0.027686086512059335,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,reth,BALANCE,presets[cold_account_code_access],,231,659.4149623557139,0.001,0.8535999925560416,0.8529606912134915,0.030627394071339287,0.001,0.028795830414237385,0.03241269773673805,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,besu,BALANCE,presets[cold_account_nocode_access],,220,412.1866839735312,0.001,0.8439456403983864,0.8432297947121404,0.009788127250429336,0.001,0.009112090266791452,0.010481672914618856,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,erigon,BALANCE,presets[cold_account_nocode_access],,88,34.91862829768695,0.001,0.9983892568540105,0.9983705272825455,0.009727522342273354,0.001,0.009647378980124759,0.009814385842113586,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,geth,BALANCE,presets[cold_account_nocode_access],,143,290.87672050564277,0.001,0.84887956540196,0.847807789270059,0.013412051247384229,0.001,0.012610882107460933,0.014229307155869064,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,nethermind,BALANCE,presets[cold_account_nocode_access],,121,90.66884929705532,0.001,0.8927083979280638,0.8918067878266189,0.003754368478880743,0.001,0.003527830060471468,0.0039946529028764615,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,reth,BALANCE,presets[cold_account_nocode_access],,231,31.590333816771704,0.001,0.9775880631826277,0.9774901944629012,0.001101042564691146,0.001,0.0010804600380213436,0.001121848814257268,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,besu,BALANCE,presets[cold_account_code_access],,220,363.5832515439016,0.001,0.9212382193342642,0.9208769267624031,0.010063013054443,0.001,0.009638253218766307,0.010504578404810097,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,BALANCE,presets[cold_account_nocode_access],,220,363.5832515439016,0.001,0.9212382193342642,0.9208769267624031,0.010063013054443,0.001,0.009638253218766307,0.010504578404810097,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,88,3.013591052114184,0.212,0.998127100648905,0.9981053227494736,0.009054184403756249,0.001,0.008973555064822045,0.0091058928925902,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,BALANCE,presets[cold_account_nocode_access],,88,3.013591052114184,0.212,0.998127100648905,0.9981053227494736,0.009054184403756249,0.001,0.008973555064822045,0.0091058928925902,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,geth,BALANCE,presets[cold_account_code_access],,143,1123.9811862650272,0.001,0.7340153819460612,0.7321289662151822,0.026133521413129558,0.001,0.023390148369019984,0.028773279934303883,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,geth,BALANCE,presets[cold_account_nocode_access],,143,1123.9811862650272,0.001,0.7340153819460612,0.7321289662151822,0.026133521413129558,0.001,0.023390148369019984,0.028773279934303883,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,121,81.65277824445754,0.001,0.879603349100321,0.8785916125381388,0.0038703376724759037,0.001,0.003633632521770663,0.004108840740165811,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,BALANCE,presets[cold_account_nocode_access],,121,81.65277824445754,0.001,0.879603349100321,0.8785916125381388,0.0038703376724759037,0.001,0.003633632521770663,0.004108840740165811,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,BALANCE,presets[cold_account_code_access],,231,31.303797146192853,0.001,0.9697819300170197,0.9696499733795395,0.0009278220601738126,0.001,0.0009053600404417995,0.0009482315588959497,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,BALANCE,presets[cold_account_nocode_access],,231,31.303797146192853,0.001,0.9697819300170197,0.9696499733795395,0.0009278220601738126,0.001,0.0009053600404417995,0.0009482315588959497,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,CALL,presets[cold_account_code_access],,440,660.112704689108,0.001,0.9337092077377172,0.933405817384114,0.025539688458252403,0.001,0.024591072577787768,0.02651505448838252,0.08494233715679253,0.001,0.08252467362129623,0.08749980736970538,CALL,AccountMode.EXISTING_CONTRACT
