gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.02436129226807324,0.023653582785212346,0.02505287885033133,test_sload_bloated,SLOAD,target_coef,0.0,,False,,2436.1292268073244,2437
COLD_STORAGE_WRITE,besu,0.14340547855237604,0.13540884603008524,0.151031748119379,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,14340.547855237603,14341
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.022686874448214968,0.021284772123812697,0.02415423926009732,test_account_access,CALLCODE,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALLCODE,2268.687444821497,2269
COLD_ACCOUNT_CODE_ACCESS,erigon,0.049464838669566205,0.046028946888879194,0.052403272753901574,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALL,4946.483866956621,4947
COLD_ACCOUNT_NOCODE_WRITE,besu,0.18195118515215997,0.17052740532339844,0.19359841929284502,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,18195.118515215996,18196
COLD_ACCOUNT_CODE_WRITE,erigon,0.2165527385615129,0.21285282921548226,0.2205510868052527,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALL,21655.27385615129,21656
WARM_ACCESS,besu,0.0007037748130494875,0.0006496426072433411,0.0007578153670309396,test_ext_account_query_warm,CALLCODE,target_coef,0.0,,,CALLCODE,70.37748130494876,71
STORAGE_WRITE,,,,,,,,0.0,,,,11904.0,11904
ACCOUNT_WRITE,,,,,,,,0.0,,,,16709.0,16709
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,13767.36,13768
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2437.0,2437
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,4947.0,4947
