gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.03212807327029127,0.031323024108591564,0.032964180761721085,test_sstore_bloated,SSTORE,target_coef,0.0,,True,,3212.8073270291266,3213
STORAGE_WRITE,geth,1.636160084130305,1.5636322778952543,1.694729462564695,test_sstore_bloated,SSTORE,update,0.0,,True,,163616.0084130305,163617
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.03953610053828055,0.03849314400063256,0.04053243705834187,test_account_access,CALLCODE,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALLCODE,3953.6100538280552,3954
ACCOUNT_WRITE,erigon,0.30155489060407215,0.27975529788887615,0.3238475147860063,test_account_access,CALL,update,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,30155.489060407213,30156
COLD_ACCOUNT_CODE_ACCESS,erigon,0.10208504695914242,0.099596063369949,0.10514343380956152,test_account_access,CALLCODE,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALLCODE,10208.504695914242,10209
WARM_ACCESS,besu,0.0006122234893940488,0.0005659087361508615,0.0006606876828808575,test_ext_account_query_warm,CALLCODE,target_coef,0.0,,,CALLCODE,61.22234893940488,62
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,160156.8,160157
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,3213.0,3213
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,10209.0,10209
