gas_param,client_name,runtime_ms,pvalue,conf_int_low,conf_int_high,test_name,target_opcode,model_coef_name,glue_adjustment,rsquared,rsquared_adj,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded,poor_fit,selected_test,selected_opcode,selected_model_coef_name
ACCOUNT_WRITE,reth,0.16467453840574336,0.001,0.16420480747369678,0.16518314227075173,test_account_access,CALL,update,0.0,0.9906598022948873,0.9906509448290692,AccountMode.EXISTING_EOA,,CALL,16467.453840574337,16468,False,test_account_access,CALL,update
COLD_ACCOUNT_CODE_ACCESS,besu,0.03779510926121833,0.001,0.03706725266187156,0.03849642581413148,test_account_access,CALLCODE,target_coef,0.0,0.9535224763393543,0.9533591107025857,AccountMode.EXISTING_CONTRACT,,CALLCODE,3779.510926121833,3780,False,test_account_access,CALLCODE,target_coef
COLD_ACCOUNT_CODE_ACCESS,erigon,0.10294161353154324,0.001,0.10176621080092325,0.10417573477775943,test_account_access,CALLCODE,target_coef,0.0,0.9573253817726939,0.9572229217049213,AccountMode.EXISTING_CONTRACT,,CALLCODE,10294.161353154324,10295,False,test_account_access,CALLCODE,target_coef
COLD_ACCOUNT_CODE_ACCESS,geth,0.048018704115808435,0.001,0.04739332002985609,0.04872526914207257,test_account_access,CALLCODE,target_coef,0.0,0.8582286716637342,0.8579752823369491,AccountMode.NON_EXISTING_ACCOUNT,,CALLCODE,4801.870411580844,4802,False,test_account_access,CALLCODE,target_coef
COLD_ACCOUNT_CODE_ACCESS,nethermind,0.023135993260254145,0.001,0.022667515117685652,0.023576315761499364,test_account_access,CALLCODE,target_coef,0.0,0.9252506790362742,0.9251408343324333,AccountMode.EXISTING_CONTRACT,,CALLCODE,2313.599326025415,2314,False,test_account_access,CALLCODE,target_coef
COLD_ACCOUNT_CODE_ACCESS,reth,0.037541385251491956,0.001,0.03730850651592687,0.03775938597545018,test_account_access,DELEGATECALL,target_coef,0.0,0.922174388958786,0.9221005506181397,AccountMode.EXISTING_CONTRACT,,DELEGATECALL,3754.1385251491956,3755,False,test_account_access,DELEGATECALL,target_coef
WARM_ACCESS,besu,0.0013563598565016065,0.001,0.0013225269161180274,0.0013912376315237467,test_ext_account_query_warm,CALLCODE,target_coef,0.0,0.9546243606875563,0.9544645873096955,,,CALLCODE,135.63598565016065,136,False,test_ext_account_query_warm,CALLCODE,target_coef
WARM_ACCESS,erigon,0.0005190052525955003,0.001,0.0004963535178846587,0.0005472039281583558,test_ext_account_query_warm,CALL,target_coef,0.0,0.8299251000368153,0.829516266142673,,,CALL,51.90052525955003,52,False,test_ext_account_query_warm,CALL,target_coef
WARM_ACCESS,geth,0.0006909231421361164,0.001,0.0006823662734350103,0.0006998487036766558,test_ext_account_query_warm,CALLCODE,target_coef,0.0,0.9786523960768316,0.9786142071610477,,,CALLCODE,69.09231421361163,70,False,test_ext_account_query_warm,CALLCODE,target_coef
WARM_ACCESS,nethermind,0.0005330017996766177,0.001,0.000497772519903011,0.0005687573980201555,test_ext_account_query_warm,CALLCODE,target_coef,0.0,0.5776543028033885,0.5770332061898641,,,CALLCODE,53.30017996766178,54,False,test_ext_account_query_warm,CALLCODE,target_coef
WARM_ACCESS,reth,4.963970305281492e-05,0.001,4.8558977312712297e-05,5.067307199366884e-05,test_ext_account_query_warm,CALL,target_coef,0.0,0.8933501315750109,0.8932489457415905,,,CALL,4.963970305281492,5,False,test_ext_account_query_warm,CALL,target_coef
STORAGE_CLEAR_REFUND,,,,,,<derived>,<derived>,<derived>,0.0,,,,,,211635.84,211636,False,,,
ACCESS_LIST_STORAGE_KEY,,,,,,<derived>,<derived>,<derived>,0.0,,,,,,15576.0,15576,False,,,
ACCESS_LIST_ADDRESS,,,,,,<derived>,<derived>,<derived>,0.0,,,,,,10295.0,10295,False,,,
