test_name,client_name,target_opcode,source_label,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,param_opcode,param_account_mode
test_account_access,besu,BALANCE,presets[cold_account_code_access],,44,489.56929504019683,0.001,0.981520937552539,0.9810809598752185,0.01858304934210797,0.001,0.017887577596462475,0.0192942390289701,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,11,161.13199591370096,0.001,0.98595663145408,0.9843962571711999,0.009244445538560391,0.001,0.008375950423616392,0.009755893646684085,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,geth,BALANCE,presets[cold_account_code_access],,85,0.0,1.0,0.9590133020486507,0.9585194864106826,0.003867337844422909,0.001,0.00380630802174185,0.003922606143650784,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,11,86.4592446948323,0.001,0.8110235169314838,0.7900261299238709,0.0020791965682371663,0.001,0.0012892579377908756,0.00267603397287236,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,reth,BALANCE,presets[cold_account_code_access],,88,132.8196056308334,0.001,0.9945592415174354,0.9944959768839171,0.018506470812485,0.001,0.01821237317284671,0.01880060110294295,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,besu,BALANCE,presets[cold_account_code_access],,44,390.4785659596328,0.001,0.9621587791280977,0.9612577976787666,0.01172172151317579,0.001,0.010964718931749143,0.012444315921832608,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,11,155.50479754788842,0.001,0.9766157630923139,0.9740175145470155,0.008547436905604484,0.001,0.007508116274582291,0.009219977157041004,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,geth,BALANCE,presets[cold_account_code_access],,87,54.6296033390606,0.001,0.9620128317904003,0.9615659239291109,0.005121630947303288,0.001,0.004877499574564438,0.005337395641916697,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,11,80.08828200846851,0.001,0.7844976501779748,0.7605529446421943,0.0022171629958056068,0.001,0.0016084607839036938,0.0028857013541414367,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,reth,BALANCE,presets[cold_account_code_access],,88,91.52114991206608,0.001,0.975213513572303,0.9749252986138415,0.003515885731976104,0.001,0.0034099540408317037,0.0036257957097094165,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,besu,BALANCE,presets[cold_account_code_access],,44,402.8556893249766,0.001,0.95908165295983,0.9581074066017308,0.011020199904514263,0.001,0.010265535743818532,0.011760418403923606,BALANCE,AccountMode.EXISTING_CONTRACT_SAME_MAX
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,11,173.38511039363354,0.001,0.9792720874596167,0.9769689860662407,0.008372806784596697,0.001,0.007340000129098893,0.00895574888286515,BALANCE,AccountMode.EXISTING_CONTRACT_SAME_MAX
test_account_access,geth,BALANCE,presets[cold_account_code_access],,86,87.31695402675284,0.001,0.939365640922537,0.9386438033144721,0.004609466889015771,0.001,0.004369149705244405,0.004856959333504039,BALANCE,AccountMode.EXISTING_CONTRACT_SAME_MAX
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,11,87.47840096264974,0.001,0.7093631759336119,0.677070195481791,0.0018159768774608307,0.001,0.0010372294854441091,0.0025981976551237985,BALANCE,AccountMode.EXISTING_CONTRACT_SAME_MAX
test_account_access,reth,BALANCE,presets[cold_account_code_access],,88,86.25131908452214,0.001,0.9736469987483043,0.9733405685011915,0.003668300074798397,0.001,0.0035366884514320355,0.0037932559663896716,BALANCE,AccountMode.EXISTING_CONTRACT_SAME_MAX
test_account_access,besu,BALANCE,presets[cold_account_nocode_access],,44,479.2347688962674,0.001,0.9810707388592717,0.9806200421654447,0.014161086371857107,0.001,0.01363364846327093,0.014876861856268651,BALANCE,AccountMode.EXISTING_EOA
test_account_access,erigon,BALANCE,presets[cold_account_nocode_access],,11,0.0,1.0,0.9956711146525571,0.9951901273917301,0.008432787132189316,0.001,0.00804795786866693,0.008527251829069488,BALANCE,AccountMode.EXISTING_EOA
test_account_access,geth,BALANCE,presets[cold_account_nocode_access],,87,232.66955463318126,0.001,0.9710201251599293,0.9706791854559285,0.011463149536673085,0.001,0.010967974864227709,0.011894079700058936,BALANCE,AccountMode.EXISTING_EOA
test_account_access,nethermind,BALANCE,presets[cold_account_nocode_access],,11,90.3696127328974,0.001,0.8917680018415107,0.8797422242683453,0.0033285440879144397,0.001,0.0026981743128919136,0.004085430552261308,BALANCE,AccountMode.EXISTING_EOA
test_account_access,reth,BALANCE,presets[cold_account_nocode_access],,88,39.10115993415726,0.001,0.9178341868643642,0.9168787704325545,0.001128109402199834,0.001,0.0010496216634274212,0.0012033955868027645,BALANCE,AccountMode.EXISTING_EOA
test_account_access,besu,BALANCE,presets[cold_account_nocode_access],,44,120.22307730027494,0.001,0.9880119302004438,0.987726499967121,0.01467761216627634,0.001,0.014318206766284444,0.015131767483312032,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,BALANCE,presets[cold_account_nocode_access],,11,0.0,1.0,0.9903178956788234,0.9892421063098038,0.008133593264752222,0.001,0.007564684658679373,0.008301361137799217,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,geth,BALANCE,presets[cold_account_nocode_access],,88,288.88668610235203,0.001,0.977975302880479,0.9777192017511822,0.021755086439183037,0.001,0.020959488378100005,0.022463024459734693,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,BALANCE,presets[cold_account_nocode_access],,11,105.66159407916076,0.001,0.9136584837155244,0.9040649819061382,0.002821779429306653,0.001,0.0024112431438217904,0.003495828452519557,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,BALANCE,presets[cold_account_nocode_access],,88,32.61324279406021,0.001,0.9196176748903095,0.9186829966913597,0.0009498194554683457,0.001,0.0008972261112197282,0.0010053462247317467,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,CALL,presets[cold_account_code_access],,44,454.77924735167807,0.001,0.9831681582846058,0.9827674001485249,0.02281743603686993,0.001,0.021985406974832408,0.023593530530477868,CALL,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,besu,CALL,presets[cold_account_code_write],,44,208.8807613561251,0.001,0.9819230978123962,0.981492695379358,0.07491792138073339,0.001,0.07173706321460196,0.07845345495657978,CALL,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,erigon,CALL,presets[cold_account_code_access],,11,804.3869825356812,0.174,0.8906077264526575,0.8784530293918417,0.12002800003001103,0.001,0.0885895422813669,0.13479026280663692,CALL,AccountMode.EXISTING_CONTRACT_DIFF_MAX
