test_name,client_name,target_opcode,source_label,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,param_opcode,param_account_mode
test_account_access,besu,BALANCE,presets[cold_account_code_access],,66,464.66098703381823,0.001,0.9805026013166142,0.9801979544621863,0.01895903798180072,0.001,0.018361678187664227,0.019658126388647997,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,11,161.13199591370096,0.001,0.98595663145408,0.9843962571711999,0.009244445538560391,0.001,0.008375950423616392,0.009755893646684085,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,geth,BALANCE,presets[cold_account_code_access],,107,0.0,1.0,0.96021079302342,0.9598318481950717,0.003878620227297744,0.001,0.003831499360408842,0.003923336911069648,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,44,95.41033750574258,0.001,0.6565235577562782,0.6483455472266658,0.001829149717942099,0.001,0.0014305270076830766,0.0022543673072496187,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,reth,BALANCE,presets[cold_account_code_access],,110,133.87033032908866,0.001,0.9939158100265191,0.993859474934172,0.018527057449160136,0.001,0.018250676026696534,0.018799393753283142,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,besu,BALANCE,presets[cold_account_code_access],,66,388.4860499913903,0.001,0.9690424995734442,0.9685587886292794,0.011803269849764823,0.001,0.01123544162750524,0.01239711126944876,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,11,155.50479754788842,0.001,0.9766157630923139,0.9740175145470155,0.008547436905604484,0.001,0.007508116274582291,0.009219977157041004,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,geth,BALANCE,presets[cold_account_code_access],,109,57.13707949392997,0.001,0.9598393410427489,0.9594640077814662,0.0050740304419507705,0.001,0.004857860738407252,0.005279591614423669,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,44,81.48003217205888,0.001,0.7829901647560155,0.777823263916873,0.0020615763024181594,0.001,0.0017352162441646136,0.002391002287549303,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,reth,BALANCE,presets[cold_account_code_access],,110,91.88446851842457,0.001,0.9747785824265286,0.9745450507823298,0.003516757830280554,0.001,0.0034193770954749677,0.003617147632327407,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
