gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.022796327888645742,0.021776029726122383,0.023646671448388158,test_sload_bloated,SLOAD,target_coef,0.0,,False,,2279.632788864574,2280
COLD_STORAGE_WRITE,geth,0.14280515085216045,0.13432547163620848,0.15184977220814963,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,14280.515085216046,14281
WARM_ACCESS,nethermind,0.0004474340707741435,0.0003701797336484265,0.0005090858364378679,test_ext_account_query_warm,DELEGATECALL,target_coef,1.2038742957961968e-05,,,DELEGATECALL,44.74340707741435,45
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.022125245785483517,0.021274973982963383,0.02299001039945631,test_account_access,DELEGATECALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,DELEGATECALL,2212.5245785483517,2213
COLD_ACCOUNT_NOCODE_WRITE,besu,0.14998042778396745,0.13920527585607134,0.16123290867818355,test_account_access,CALL,target_coef,0.0019264327010078681,AccountMode.NON_EXISTING_ACCOUNT,,CALL,14998.042778396744,14999
COLD_ACCOUNT_CODE_ACCESS,besu,0.022469983639217983,0.02167110786941641,0.023247185786329352,test_account_access,STATICCALL,target_coef,0.00035033569492912717,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,STATICCALL,2246.9983639217985,2247
COLD_ACCOUNT_CODE_WRITE,besu,0.07404157644076471,0.07086071827463329,0.0775771100166111,test_account_access,CALL,target_coef,0.0008763449399686802,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,CALL,7404.157644076471,7405
STORAGE_WRITE,,,,,,,,0.0,,,,12001.0,12001
ACCOUNT_WRITE,,,,,,,,0.0,,,,12786.0,12786
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,13709.76,13710
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2280.0,2280
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,2247.0,2247
