test_name,client_name,target_opcode,source_label,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,update_runtime_ms,update_pvalue,update_conf_int_low,update_conf_int_high,param_opcode,param_account_mode
test_account_access,besu,BALANCE,presets[cold_account_code_access],,297,501.9500417610772,0.001,0.8573598313309126,0.8568763053354242,0.029437309859696392,0.001,0.028192036686210172,0.030648363781071195,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,165,257.9289572239123,0.001,0.9137520519437742,0.9132229234280919,0.03410316917240401,0.001,0.03257580975331083,0.0355850895050164,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,geth,BALANCE,presets[cold_account_code_access],,341,738.7624786027608,0.001,0.8690578665716311,0.8686716065910164,0.023102638012128376,0.001,0.02210098531866974,0.024172392622235417,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,319,474.0365827949116,0.001,0.8217788750194269,0.8212166632686996,0.018613618151430124,0.001,0.01750731063955704,0.019628889750299496,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,reth,BALANCE,presets[cold_account_code_access],,319,261.9447420117898,0.001,0.8843924575239439,0.8840277649609279,0.01859103431227983,0.001,0.017952333485472757,0.019446761085665013,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,besu,BALANCE,presets[cold_account_nocode_access],,297,691.4970757707638,0.001,0.7024740101236453,0.7014654474460984,0.01308152496777925,0.001,0.012226832683005132,0.014036032836882612,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,erigon,BALANCE,presets[cold_account_nocode_access],,165,14.754444111475749,0.032,0.9710670018430332,0.9708894987868555,0.009041940445836106,0.001,0.008788562420952686,0.009270367149582948,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,geth,BALANCE,presets[cold_account_nocode_access],,341,473.1670800512167,0.001,0.9413841817962196,0.9412112737779194,0.010566539190911224,0.001,0.010218881596334791,0.010931907275506926,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,nethermind,BALANCE,presets[cold_account_nocode_access],,319,84.89785560463565,0.001,0.9492979812299835,0.9491380379531065,0.0034322439274438667,0.001,0.0033447968291012487,0.0035151710819570454,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,reth,BALANCE,presets[cold_account_nocode_access],,319,41.136396546133156,0.001,0.9459882055975815,0.9458178213881101,0.001220872450913652,0.001,0.0011895529512731431,0.001255310191216125,,,,,BALANCE,AccountMode.EXISTING_EOA
