test_name,client_name,target_opcode,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,update_runtime_ms,update_pvalue,update_conf_int_low,update_conf_int_high,param_opcode,param_account_mode
test_account_access,besu,BALANCE,,275,459.7806067215833,0.001,0.9406373025521373,0.94041985677394,0.025652913343663826,0.001,0.0247918140249528,0.026533163994338617,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,BALANCE,,132,461.4439533017199,0.001,0.8998667638498627,0.8990965081871694,0.036788907693493314,0.001,0.034798283074877596,0.038558830917936944,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,BALANCE,,209,821.2076379484591,0.001,0.7187471819881806,0.7173884727224229,0.024809043297757957,0.001,0.02258707088060394,0.026945200003911294,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,reth,BALANCE,,363,586.281984108294,0.001,0.7806755296771771,0.7800679826679726,0.031619740716026794,0.001,0.02988067263831377,0.033467886734073686,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,besu,BALANCE,,275,407.0316815186756,0.001,0.8323017707671663,0.8316874915392072,0.009455013771816406,0.001,0.008831157757743024,0.010124938497668188,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,erigon,BALANCE,,132,35.5147879754502,0.001,0.9954837582019262,0.9954490178804026,0.009900367169501868,0.001,0.009782735796697495,0.01002296125492352,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,nethermind,BALANCE,,209,87.4098037773869,0.001,0.9237151721437847,0.9233466464053489,0.0037071411475557495,0.001,0.0035574650364819252,0.0038593028767002105,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,reth,BALANCE,,363,32.06027022051787,0.001,0.9767735610372262,0.9767092218711244,0.0010905133355398999,0.001,0.0010746761464120803,0.0011083140483809097,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,besu,BALANCE,,275,386.6809158892446,0.001,0.9183769812909027,0.9180779958743859,0.009445387762267112,0.001,0.009091489357554335,0.009827244117422078,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,BALANCE,,275,386.6809158892446,0.001,0.9183769812909027,0.9180779958743859,0.009445387762267112,0.001,0.009091489357554335,0.009827244117422078,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
