gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.021613908074724665,0.020382468292930576,0.022630068524698402,test_sload_bloated,SLOAD,target_coef,0.0,,False,,2161.3908074724663,2162
COLD_STORAGE_WRITE,erigon,0.22572904520942094,0.21913485774565294,0.2312406827724899,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,22572.904520942095,22573
WARM_ACCESS,nethermind,0.00047835494933953207,0.0004320694070899681,0.0005261898033095819,test_ext_account_query_warm,DELEGATECALL,target_coef,0.0,,,DELEGATECALL,47.83549493395321,48
COLD_ACCOUNT_NOCODE_ACCESS,erigon,0.10460668488806983,0.10272260270952166,0.10654821481342404,test_account_access,STATICCALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,STATICCALL,10460.668488806983,10461
COLD_ACCOUNT_NOCODE_WRITE,erigon,0.2704112148039583,0.2624985781165127,0.2775104989125769,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,27041.121480395832,27042
COLD_ACCOUNT_CODE_ACCESS,erigon,0.14464002368870932,0.12243285869851082,0.15767831633383175,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,CALL,14464.002368870933,14465
COLD_ACCOUNT_CODE_WRITE,erigon,0.2717737637760496,0.25459584197934215,0.28626879319388426,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,CALL,27177.37637760496,27178
STORAGE_WRITE,,,,,,,,0.0,,,,20411.0,20411
ACCOUNT_WRITE,,,,,,,,0.0,,,,16581.0,16581
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,21670.08,21671
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2162.0,2162
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,14465.0,14465
