gas_param,client_name,runtime_ms,pvalue,conf_int_low,conf_int_high,test_name,target_opcode,model_coef_name,glue_adjustment,rsquared,rsquared_adj,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded,poor_fit,is_winner,selected_test,selected_opcode,selected_model_coef_name
COLD_STORAGE_ACCESS,besu,0.00712054561805842,0.001,0.0069524486266876444,0.0072905399382376165,test_sload_bloated,SLOAD,target_coef,0.0,0.9600806384039479,0.959962882175051,,False,,712.054561805842,713,False,False,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,besu,0.015862823550456883,0.001,0.015301837819285917,0.016441637413254738,test_sload_bloated,SLOAD,target_coef,0.0,0.9037276092180625,0.9034436198647234,,True,,1586.2823550456883,1587,False,True,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,besu,0.00726772219385668,0.001,0.006886907323989333,0.007648548868217106,test_sstore_bloated,SSTORE,target_coef,0.0,0.7812954387909714,0.780651242734391,,False,,726.7722193856679,727,False,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,besu,0.015624085229580129,0.001,0.014906682399542431,0.01640038351117655,test_sstore_bloated,SSTORE,target_coef,0.0,0.9711708764056367,0.9710859599885694,,True,,1562.4085229580128,1563,False,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,erigon,0.006256332875731943,0.001,0.00619091195583515,0.0063226249458952595,test_sload_bloated,SLOAD,target_coef,0.0,0.9949495561195647,0.994920530580022,,False,,625.6332875731944,626,False,True,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,erigon,0.005820337548942436,0.001,0.005726317863436998,0.005926421494222044,test_sload_bloated,SLOAD,target_coef,0.0,0.9870274477655476,0.9869528928676484,,True,,582.0337548942435,583,False,False,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,erigon,0.0,1.0,0.0,0.0,test_sstore_bloated,SSTORE,target_coef,0.0,0.9348482635838907,0.9344749011975519,,False,,0.0,0,True,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,erigon,0.0,1.0,0.0,0.0,test_sstore_bloated,SSTORE,target_coef,0.0,0.9940070904082904,0.9939727470868479,,True,,0.0,0,True,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,nethermind,0.003612426772926284,0.001,0.003447125976627537,0.0037712080488466445,test_sload_bloated,SLOAD,target_coef,0.0,0.8756642011371664,0.8751896370193692,,False,,361.2426772926284,362,False,False,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,nethermind,0.024671784594708653,0.001,0.021831436871594504,0.02742289000581485,test_sload_bloated,SLOAD,target_coef,0.0,0.5292523458872929,0.5274555991158703,,True,,2467.178459470865,2468,False,False,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,nethermind,0.003619144878433652,0.001,0.0035022644996868203,0.003748510777085419,test_sstore_bloated,SSTORE,target_coef,0.0,0.9175016680678848,0.9171873887081434,,False,,361.91448784336524,362,False,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,nethermind,0.02634052043606077,0.001,0.0247247404910485,0.028215785940852417,test_sstore_bloated,SSTORE,target_coef,0.0,0.6594739755621277,0.6581767335642692,,True,,2634.052043606077,2635,False,True,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,reth,0.0013018895395992315,0.001,0.0012699152265063895,0.0013332207919026745,test_sload_bloated,SLOAD,target_coef,0.0,0.9480455064228807,0.9479297948558938,,False,,130.18895395992314,131,False,False,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,reth,0.0014395990842198752,0.001,0.0014069979947118813,0.0014716931427350554,test_sload_bloated,SLOAD,target_coef,0.0,0.9583436320435257,0.9582508561683443,,True,,143.95990842198754,144,False,True,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,reth,0.0,1.0,0.0,0.00020596158971885624,test_sstore_bloated,SSTORE,target_coef,0.0,0.5997173389089987,0.5988268324327117,,False,,0.0,0,True,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,reth,0.0,1.0,0.0,0.0,test_sstore_bloated,SSTORE,target_coef,0.0,0.9952189037248335,0.9952082672481367,,True,,0.0,0,True,False,test_sstore_bloated,SSTORE,target_coef
STORAGE_WRITE,besu,0.09614965019135026,0.001,0.07872081000096724,0.11342197483591536,test_sstore_bloated,SSTORE,update,0.0,0.7812954387909714,0.780651242734391,,False,,9614.965019135027,9615,False,True,test_sstore_bloated,SSTORE,update
STORAGE_WRITE,besu,0.0901961063474316,0.001,0.08870275822477883,0.09170673705464294,test_sstore_bloated,SSTORE,update,0.0,0.9711708764056367,0.9710859599885694,,True,,9019.61063474316,9020,False,False,test_sstore_bloated,SSTORE,update
STORAGE_WRITE,erigon,2.107617743890041,0.001,2.059864724323715,2.161978696282015,test_sstore_bloated,SSTORE,update,0.0,0.9348482635838907,0.9344749011975519,,False,,210761.7743890041,210762,False,True,test_sstore_bloated,SSTORE,update
STORAGE_WRITE,erigon,0.6759294363752508,0.001,0.6708342141241924,0.6823913468897015,test_sstore_bloated,SSTORE,update,0.0,0.9940070904082904,0.9939727470868479,,True,,67592.94363752508,67593,False,False,test_sstore_bloated,SSTORE,update
STORAGE_WRITE,nethermind,0.06098516410548947,0.001,0.05614191311474634,0.06593188016119607,test_sstore_bloated,SSTORE,update,0.0,0.9175016680678848,0.9171873887081434,,False,,6098.516410548947,6099,False,True,test_sstore_bloated,SSTORE,update
STORAGE_WRITE,nethermind,0.02722159440863907,0.001,0.024950225884661177,0.029470802677541458,test_sstore_bloated,SSTORE,update,0.0,0.6594739755621277,0.6581767335642692,,True,,2722.159440863907,2723,False,False,test_sstore_bloated,SSTORE,update
