test_name,client_name,target_opcode,source_label,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,param_opcode,param_account_mode
test_account_access,besu,BALANCE,presets[cold_account_code_access],,88,808.3219379716598,0.001,0.9386992319093602,0.9379864322803992,0.029767582871839685,0.001,0.027716367729212307,0.03181092465598971,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,66,172.68688052147303,0.001,0.9650384842137286,0.9644922105295681,0.0041643221122337655,0.001,0.003962427526745049,0.004359465342526635,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,ethrex,BALANCE,presets[cold_account_code_access],,66,159.70143383140936,0.001,0.6875132335774283,0.6826306278520756,0.010752989564081621,0.001,0.00890508255508835,0.012458494124268955,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,geth,BALANCE,presets[cold_account_code_access],,88,377.8275970685149,0.001,0.923180887626112,0.9222876421333923,0.01780651842923612,0.001,0.016460368957681867,0.019128191056384816,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,66,124.61562518737595,0.001,0.7314711041111923,0.7272753401129297,0.002761585264062296,0.001,0.0024059329149540057,0.003151006841787441,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,reth,BALANCE,presets[cold_account_code_access],,44,90.01282497448985,0.001,0.94686446104612,0.9455993291662657,0.005154166455893429,0.001,0.004789052998287762,0.005480535611455621,BALANCE,AccountMode.EXISTING_CONTRACT_DIFF_MAX
test_account_access,besu,BALANCE,presets[cold_account_code_access],,88,743.5503245005588,0.001,0.8935145472313037,0.8922763442921329,0.012275047434946925,0.001,0.01140384207404184,0.01323398861089712,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,66,164.33993906607043,0.001,0.9295710478961972,0.9284705955195752,0.0035922441103682498,0.001,0.00338555044624602,0.003801347070520823,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,ethrex,BALANCE,presets[cold_account_code_access],,66,55.79647305895685,0.001,0.9772151437505487,0.9768591303716511,0.0028755758458960307,0.001,0.0027543244994930006,0.002995148292912083,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
test_account_access,geth,BALANCE,presets[cold_account_code_access],,88,239.92392445740103,0.001,0.9806751909413889,0.980450483859312,0.02068840104687351,0.001,0.020002066106318203,0.021363935984444096,BALANCE,AccountMode.EXISTING_CONTRACT_MINIMAL
