gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.17024187479252265,0.15697301705258704,0.18158544216817613,test_sload_bloated,SLOAD,target_coef,0.0,,False,,17024.187479252265,17025
COLD_STORAGE_WRITE,erigon,1.1771377794260307,0.9300299926199086,1.3992059814022437,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,117713.77794260306,117714
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.04015543323027755,0.03565584765872447,0.04412333820120422,test_account_access,EXTCODEHASH,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,EXTCODEHASH,4015.543323027755,4016
COLD_ACCOUNT_CODE_ACCESS,erigon,0.08721549681109296,0.07390122082723358,0.09735201483631944,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALL,8721.549681109296,8722
COLD_ACCOUNT_NOCODE_WRITE,erigon,1.5539122892516513,1.1864442476012875,1.9446429661238014,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,155391.2289251651,155392
COLD_ACCOUNT_CODE_WRITE,erigon,1.5539122892516513,1.1864442476012875,1.9446429661238014,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,155391.2289251651,155392
WARM_ACCESS,geth,0.0006961638764398338,0.0006724837464183117,0.0007141565344404915,test_ext_account_query_warm,CALLCODE,target_coef,0.0,,,CALLCODE,69.61638764398337,70
STORAGE_WRITE,,,,,,,,0.0,,,,100689.0,100689
ACCOUNT_WRITE,,,,,,,,0.0,,,,151376.0,151376
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,113005.44,113006
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,17025.0,17025
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,8722.0,8722
