gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.022674514517443352,0.021547623573512552,0.023674557016941565,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,2267.4514517443354,2268
COLD_STORAGE_WRITE,erigon,0.1769571351909769,0.17366280141726131,0.18067493670950158,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,17695.713519097688,17696
WARM_ACCESS,nethermind,0.00027195652082207515,0.00021528121633882958,0.0003282625626402587,test_ext_account_query_warm,CALL,target_coef,9.800457677036878e-06,,,CALL,27.195652082207513,28
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.022431759698978204,0.021712023240108288,0.023170181710006753,test_account_access,STATICCALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,STATICCALL,2243.175969897821,2244
COLD_ACCOUNT_NOCODE_WRITE,erigon,0.3517040692458642,0.34377554048836123,0.3593908389716412,test_account_access,CALL,target_coef,2.3011238860460234e-05,AccountMode.NON_EXISTING_ACCOUNT,,CALL,35170.40692458642,35171
COLD_ACCOUNT_CODE_ACCESS,erigon,0.035161578083818874,0.03216990875038315,0.03773175304016055,test_account_access,EXTCODESIZE,target_coef,0.0,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,EXTCODESIZE,3516.1578083818877,3517
COLD_ACCOUNT_CODE_WRITE,besu,0.07162845162984724,0.06965551743081146,0.07341218430268809,test_account_access,CALL,target_coef,0.0008639121015289658,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,CALL,7162.845162984724,7163
STORAGE_WRITE,,,,,,,,0.0,,,,15428.0,15428
ACCOUNT_WRITE,,,,,,,,0.0,,,,32927.0,32927
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,16988.16,16989
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2268.0,2268
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,3517.0,3517
