gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.0242963538993327,0.023849672027170574,0.024737915717636314,test_sload_bloated,SLOAD,target_coef,0.0,,False,,2429.63538993327,2430
COLD_STORAGE_WRITE,besu,0.13563840284870854,0.1281196106199937,0.14314210658395632,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,13563.840284870854,13564
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.022639103297841186,0.02179456167922128,0.0234991804254179,test_account_access,STATICCALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,STATICCALL,2263.9103297841184,2264
COLD_ACCOUNT_CODE_ACCESS,erigon,0.04591674376180108,0.039537733788996374,0.05155860536158159,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALL,4591.674376180109,4592
COLD_ACCOUNT_NOCODE_WRITE,erigon,0.25058628121517584,0.23055301913212628,0.27007801405553855,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,25058.628121517584,25059
COLD_ACCOUNT_CODE_WRITE,erigon,0.25398985160844395,0.21877789571103792,0.28865617311061265,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALL,25398.985160844397,25399
WARM_ACCESS,besu,0.0006317480920296816,0.0005925755466372229,0.0006691969135955946,test_ext_account_query_warm,CALLCODE,target_coef,0.0,,,CALLCODE,63.17480920296816,64
STORAGE_WRITE,,,,,,,,0.0,,,,11134.0,11134
ACCOUNT_WRITE,,,,,,,,0.0,,,,22795.0,22795
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,13021.44,13022
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2430.0,2430
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,4592.0,4592
