gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.024291684531617574,0.023793668601996654,0.024762531043630236,test_sload_bloated,SLOAD,target_coef,0.0,,False,,2429.1684531617575,2430
COLD_STORAGE_WRITE,geth,0.13049972106297253,0.12632408290977515,0.1347072436214095,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,13049.972106297253,13050
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.022530435842902565,0.021396020874388126,0.023665485978032814,test_account_access,STATICCALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,STATICCALL,2253.0435842902566,2254
COLD_ACCOUNT_CODE_ACCESS,besu,0.02764825292472023,0.026774539132958554,0.028574264914467625,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALL,2764.825292472023,2765
COLD_ACCOUNT_NOCODE_WRITE,erigon,0.19598993401195713,0.18857717603822774,0.2036470255795116,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,19598.993401195712,19599
COLD_ACCOUNT_CODE_WRITE,erigon,0.19598993401195713,0.18857717603822774,0.2036470255795116,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,19598.993401195712,19599
WARM_ACCESS,erigon,0.0005519113693266104,0.0005304598226384462,0.0005738532710521206,test_ext_account_query_warm,STATICCALL,target_coef,0.0,,,STATICCALL,55.19113693266104,56
STORAGE_WRITE,,,,,,,,0.0,,,,10620.0,10620
ACCOUNT_WRITE,,,,,,,,0.0,,,,17345.0,17345
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,12528.0,12528
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2430.0,2430
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,2765.0,2765
