gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.021520893878126387,0.0207706987676768,0.022240637447643576,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,1614.067040859479,1615
COLD_STORAGE_WRITE,erigon,0.23160182966796886,0.22732622651880413,0.23560061861855253,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,17370.137225097664,17371
WARM_ACCESS,nethermind,0.0004925138340560547,0.00045790132733146855,0.0005328510324384467,test_ext_account_query_warm,DELEGATECALL,target_coef,0.0,,,DELEGATECALL,36.9385375542041,37
COLD_ACCOUNT_NOCODE_ACCESS,besu,0.03391404687721322,0.032193853302305085,0.03577383869154292,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_EOA,,CALL,2543.5535157909917,2544
COLD_ACCOUNT_NOCODE_WRITE,erigon,0.27451383321006684,0.26568997078061823,0.2825786488907885,test_account_access,CALL,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,20588.537490755014,20589
COLD_ACCOUNT_CODE_ACCESS,erigon,0.15575926867966378,0.1402043601799101,0.16721666226422047,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,CALL,11681.945150974783,11682
COLD_ACCOUNT_CODE_WRITE,erigon,0.2873963507340436,0.2742567450978936,0.2987730708026296,test_account_access,CALL,target_coef,0.0,AccountMode.EXISTING_CONTRACT_DIFF_MAX,,CALL,21554.72630505327,21555
STORAGE_WRITE,,,,,,,,0.0,,,,15756.0,15756
ACCOUNT_WRITE,,,,,,,,0.0,,,,18045.0,18045
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,16676.16,16677
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,1615.0,1615
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,11682.0,11682
