gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,nethermind,0.025353464429772658,0.018945440609841508,0.0321562412455671,test_sstore_bloated,SSTORE,target_coef,0.0,,True,,2535.3464429772657,2536
STORAGE_WRITE,reth,0.1717221702191418,0.16956682224870032,0.17422051399970356,test_sstore_bloated,SSTORE,update,0.0,,True,,17172.21702191418,17173
COLD_ACCOUNT_NOCODE_ACCESS,erigon,0.102206128005085,0.09577348036699652,0.11188027585720703,test_account_access,CALLCODE,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALLCODE,10220.6128005085,10221
ACCOUNT_WRITE,erigon,0.2773539495695942,0.25232672028720315,0.3016038758176555,test_account_access,CALL,update,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,27735.39495695942,27736
COLD_ACCOUNT_CODE_ACCESS,erigon,0.102206128005085,0.09577348036699652,0.11188027585720703,test_account_access,CALLCODE,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALLCODE,10220.6128005085,10221
WARM_ACCESS,nethermind,0.0007282550515604359,0.0006347943694574198,0.0008069907696854107,test_ext_account_query_warm,CALL,target_coef,0.0,,,CALL,72.82550515604358,73
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,18920.64,18921
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2536.0,2536
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,10221.0,10221
