test_name,client_name,target_opcode,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,update_runtime_ms,update_pvalue,update_conf_int_low,update_conf_int_high,param_opcode,param_account_mode
test_account_access,besu,BALANCE,,55,499.5714168724934,0.001,0.9521756390062881,0.9512732925724445,0.02616975667110132,0.001,0.024545037949893076,0.028023382597556476,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,BALANCE,,22,418.9287139954727,0.004,0.9086108613809694,0.9040414044500178,0.03605728937207886,0.001,0.030372169712411867,0.04062068943814463,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,geth,BALANCE,,11,1318.8893274314569,0.001,0.8466297525384502,0.8295886139316113,0.020769497233911912,0.001,0.014218942374361719,0.029334640683570955,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,BALANCE,,33,843.8658118228478,0.001,0.669739311462767,0.6590857408647917,0.022474323354551917,0.001,0.016873472246197035,0.028705968423256168,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,reth,BALANCE,,77,630.8217170106648,0.001,0.8652572720266932,0.8634607023203824,0.031340125714494745,0.001,0.027795278777634134,0.03443342552619731,,,,,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,besu,BALANCE,,55,455.5902546939477,0.001,0.7996521861370337,0.795872038705657,0.009277010922462444,0.001,0.007794039847513881,0.010939734128686202,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,erigon,BALANCE,,22,36.12458175465002,0.001,0.9984463807020435,0.9983686997371457,0.009705538441558935,0.001,0.009563371455565286,0.009868562799287798,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,geth,BALANCE,,11,191.48795985495468,0.001,0.9835296414175183,0.9816996015750203,0.016145393713883672,0.001,0.014832984553623318,0.01743566962644252,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,nethermind,BALANCE,,33,83.92179518808113,0.001,0.9426357016630245,0.9407852404263478,0.0036741846508163874,0.001,0.0034056982317270394,0.004008955202529097,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,reth,BALANCE,,77,30.864141004430483,0.001,0.9840819365227104,0.9838696956763465,0.0011098003292390548,0.001,0.0010782042737084903,0.0011442379186357985,,,,,BALANCE,AccountMode.EXISTING_EOA
test_account_access,besu,BALANCE,,55,407.8920940563303,0.001,0.9147383251236637,0.9131296142769404,0.009688878818395398,0.001,0.00883279514049818,0.010665520824744038,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,BALANCE,,55,407.8920940563303,0.001,0.9147383251236637,0.9131296142769404,0.009688878818395398,0.001,0.00883279514049818,0.010665520824744038,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,BALANCE,,22,2.0437891714309573,0.428,0.9976373236208753,0.9975191898019191,0.009088717803005993,0.001,0.008897112804939423,0.009169321556928659,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,BALANCE,,22,2.0437891714309573,0.428,0.9976373236208753,0.9975191898019191,0.009088717803005993,0.001,0.008897112804939423,0.009169321556928659,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,geth,BALANCE,,11,1327.350228301397,0.001,0.8600893402987575,0.8445437114430638,0.02057745711762836,0.001,0.014361090967786823,0.025586709066906764,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,geth,BALANCE,,11,1327.350228301397,0.001,0.8600893402987575,0.8445437114430638,0.02057745711762836,0.001,0.014361090967786823,0.025586709066906764,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,BALANCE,,33,64.14444543379979,0.001,0.9795903893684458,0.978932014831944,0.003898654779836795,0.001,0.003686836406502318,0.00410779837808418,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,nethermind,BALANCE,,33,64.14444543379979,0.001,0.9795903893684458,0.978932014831944,0.003898654779836795,0.001,0.003686836406502318,0.00410779837808418,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,BALANCE,,77,30.049711933492517,0.001,0.972477939902199,0.972110979100895,0.0009502537810926689,0.001,0.0009131070092793228,0.0009904000840873723,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,reth,BALANCE,,77,30.049711933492517,0.001,0.972477939902199,0.972110979100895,0.0009502537810926689,0.001,0.0009131070092793228,0.0009904000840873723,,,,,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,CALL,,110,627.0113417218108,0.001,0.9492264340592267,0.9482773954435113,0.02665590387744934,0.001,0.024805170626740067,0.028339666405927708,0.08991220340452133,0.001,0.08528365008451604,0.0943984788977945,CALL,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,CALL,,44,2440.471860767083,0.001,0.9016296582728863,0.8968311050179052,0.07392743114115488,0.001,0.0635328971587218,0.08441878560007637,0.23060962035814148,0.001,0.20377866121834262,0.25888919139968325,CALL,AccountMode.EXISTING_CONTRACT
