gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.03185409339613497,0.03027710716678632,0.034456632398369005,test_sstore_bloated,SSTORE,target_coef,0.0,,True,,3185.409339613497,3186
STORAGE_WRITE,geth,1.644952198515652,1.3315165492481387,1.8281470833607407,test_sstore_bloated,SSTORE,update,0.0,,True,,164495.2198515652,164496
COLD_ACCOUNT_NOCODE_ACCESS,erigon,0.10255150166889593,0.09800235092027125,0.1089639021586183,test_account_access,CALLCODE,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALLCODE,10255.150166889593,10256
ACCOUNT_WRITE,erigon,0.32260233574603936,0.27504767132593066,0.36796430399858304,test_account_access,CALL,update,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,32260.23357460394,32261
COLD_ACCOUNT_CODE_ACCESS,erigon,0.10255150166889593,0.09800235092027125,0.1089639021586183,test_account_access,CALLCODE,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALLCODE,10255.150166889593,10256
WARM_ACCESS,nethermind,0.0007732788075878642,0.0007085052037350285,0.0008435458192840398,test_ext_account_query_warm,CALLCODE,target_coef,0.0,,,CALLCODE,77.32788075878642,78
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,160974.72,160975
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,3186.0,3186
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,10256.0,10256
