test_name,client_name,target_opcode,source_label,param_existing_slots,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,param_opcode,param_account_mode
test_account_access,besu,BALANCE,presets[cold_account_code_access],,1309,493.5006876798991,0.001,0.8436334849310354,0.8435138471995366,0.026649978042390412,0.001,0.026058444349334988,0.02719585212951545,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,385,397.0701477881254,0.001,0.9118286561243807,0.9115984437382825,0.0349419129514344,0.001,0.033892884254917884,0.035953324690209426,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,ethrex,BALANCE,presets[cold_account_code_access],,1276,371.59452671934855,0.001,0.9718989497685743,0.9718768924293031,0.024880000309711645,0.001,0.024566671267961394,0.025165533380706224,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,geth,BALANCE,presets[cold_account_code_access],,924,1121.5786362468696,0.001,0.6868667409421999,0.6865271170169744,0.027950903263332914,0.001,0.02665032126842337,0.029289408688041307,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,nethermind,BALANCE,presets[cold_account_code_access],,495,808.7353586144246,0.001,0.7338712811713102,0.7333314663258159,0.025243133669637614,0.001,0.023798808168561444,0.02668065953437554,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,reth,BALANCE,presets[cold_account_code_access],,385,688.9974083381516,0.001,0.8299090273765815,0.8294649256203845,0.02954242012022034,0.001,0.02805137743374347,0.031068315921338234,BALANCE,AccountMode.EXISTING_CONTRACT
test_account_access,besu,BALANCE,presets[cold_account_nocode_access],,1309,419.14267224041396,0.001,0.7394688754540047,0.739269540240121,0.010426275734128933,0.001,0.010034288123979008,0.010783690655124056,BALANCE,AccountMode.EXISTING_EOA
test_account_access,erigon,BALANCE,presets[cold_account_nocode_access],,385,33.103167031555195,0.001,0.9790492884618439,0.9789945868651385,0.009523852256556999,0.001,0.009375759144807415,0.009663103215107056,BALANCE,AccountMode.EXISTING_EOA
test_account_access,ethrex,BALANCE,presets[cold_account_nocode_access],,1276,386.35560023687253,0.001,0.9738064672076399,0.9737859071348044,0.02423788734805972,0.001,0.023980095185702592,0.024520792009174532,BALANCE,AccountMode.EXISTING_EOA
test_account_access,geth,BALANCE,presets[cold_account_nocode_access],,924,355.2248094541011,0.001,0.7415147790162846,0.741234426282029,0.011368913931690502,0.001,0.010929056956796288,0.011751797354982042,BALANCE,AccountMode.EXISTING_EOA
test_account_access,nethermind,BALANCE,presets[cold_account_nocode_access],,495,88.23414228329075,0.001,0.9255999685463111,0.9254490557036058,0.0037387558115896595,0.001,0.003648397576064425,0.003834485553267349,BALANCE,AccountMode.EXISTING_EOA
test_account_access,reth,BALANCE,presets[cold_account_nocode_access],,385,31.55847371147118,0.001,0.9759020261032295,0.9758391071113319,0.0010936824243706958,0.001,0.0010771324805171662,0.0011115312577660733,BALANCE,AccountMode.EXISTING_EOA
test_account_access,besu,BALANCE,presets[cold_account_code_access],,1309,382.69739747029934,0.001,0.804683046452012,0.8045336073138728,0.01045204781650295,0.001,0.010171831980915058,0.010756628492685213,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,besu,BALANCE,presets[cold_account_nocode_access],,1309,382.69739747029934,0.001,0.804683046452012,0.8045336073138728,0.01045204781650295,0.001,0.010171831980915058,0.010756628492685213,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
test_account_access,erigon,BALANCE,presets[cold_account_code_access],,385,1.1123497007300083,0.417,0.9748064981079881,0.97474071872968,0.00881959110347096,0.001,0.00866832369606205,0.008879150881738337,BALANCE,AccountMode.NON_EXISTING_ACCOUNT
