gas_param,client_name,runtime_ms,pvalue,conf_int_low,conf_int_high,test_name,target_opcode,model_coef_name,glue_adjustment,rsquared,rsquared_adj,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded,poor_fit,is_winner,selected_test,selected_opcode,selected_model_coef_name
COLD_STORAGE_ACCESS,besu,0.007061273369883213,0.001,0.006873922759841717,0.007244669984915631,test_sload_bloated,SLOAD,target_coef,0.0,0.9625936277921123,0.9624619152139156,,False,,706.1273369883214,707,False,False,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,besu,0.01568266228500664,0.001,0.015091724574076261,0.016324911364659498,test_sload_bloated,SLOAD,target_coef,0.0,0.9045092162745036,0.9041729811205407,,True,,1568.266228500664,1569,False,True,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,besu,0.006882688410519447,0.001,0.006508906157665494,0.007267433807532526,test_sstore_bloated,SSTORE,target_coef,0.0,0.7724682196525408,0.7716684594404231,,False,,688.2688410519447,689,False,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,besu,0.015271124563544127,0.001,0.014444536107229525,0.016063274105854484,test_sstore_bloated,SSTORE,target_coef,0.0,0.9776571454731252,0.977578611713804,,True,,1527.1124563544126,1528,False,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,erigon,0.006248822877441911,0.001,0.006180172102733662,0.006320592312536783,test_sload_bloated,SLOAD,target_coef,0.0,0.9950166418424027,0.9949812988767459,,False,,624.8822877441911,625,False,True,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,erigon,0.005822834122971117,0.001,0.005717520780602884,0.005929450655254901,test_sload_bloated,SLOAD,target_coef,0.0,0.987916538045642,0.987830839733909,,True,,582.2834122971117,583,False,False,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,erigon,0.0,1.0,0.0,0.0,test_sstore_bloated,SSTORE,target_coef,0.0,0.9336105695074409,0.9331413862530765,,False,,0.0,0,True,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,erigon,0.0,1.0,0.0,0.0,test_sstore_bloated,SSTORE,target_coef,0.0,0.9939092818868017,0.9938662379425388,,True,,0.0,0,True,False,test_sstore_bloated,SSTORE,target_coef
COLD_STORAGE_ACCESS,nethermind,0.0036575552948178987,0.001,0.0034923395068221447,0.003837928121517812,test_sload_bloated,SLOAD,target_coef,0.0,0.8854059061648843,0.8848802451839893,,False,,365.75552948178984,366,False,False,test_sload_bloated,SLOAD,target_coef
COLD_STORAGE_ACCESS,nethermind,0.025554452505171826,0.001,0.022354539875202063,0.028600192466439037,test_sload_bloated,SLOAD,target_coef,0.0,0.5551890379357534,0.5531486206785778,,True,,2555.4452505171826,2556,False,False,test_sload_bloated,SLOAD,target_coef
