gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_account_mode,param_existing_slots,param_opcode,new_gas_decimal,new_gas_rounded
COLD_STORAGE_ACCESS,geth,0.027342389972076168,0.027133206299879274,0.027594806553006303,test_sstore_bloated,SSTORE,target_coef,0.0,,False,,2734.238997207617,2735
STORAGE_WRITE,reth,0.15390821497758236,0.1530490289870574,0.15480479156608806,test_sstore_bloated,SSTORE,update,0.0,,False,,15390.821497758236,15391
COLD_ACCOUNT_NOCODE_ACCESS,geth,0.031398198273235985,0.030768925512375683,0.03193799451643715,test_account_access,CALLCODE,target_coef,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALLCODE,3139.8198273235985,3140
ACCOUNT_WRITE,erigon,0.2286528784585355,0.2186893343702327,0.2385759281830469,test_account_access,CALL,update,0.0,AccountMode.NON_EXISTING_ACCOUNT,,CALL,22865.28784585355,22866
COLD_ACCOUNT_CODE_ACCESS,erigon,0.09130407215246376,0.0895346093295591,0.09322955777648947,test_account_access,CALLCODE,target_coef,0.0,AccountMode.EXISTING_CONTRACT,,CALLCODE,9130.407215246376,9131
WARM_ACCESS,besu,0.0006193584610882595,0.0005760981176624804,0.0006631334450080894,test_ext_account_query_warm,CALLCODE,target_coef,0.0,,,CALLCODE,61.93584610882594,62
REFUND_STORAGE_CLEAR,,,,,,,,0.0,,,,17400.96,17401
TX_ACCESS_LIST_STORAGE_KEY,,,,,,,,0.0,,,,2735.0,2735
TX_ACCESS_LIST_ADDRESS,,,,,,,,0.0,,,,9131.0,9131
